episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.6,436
2,-24.0,1735,1.2,861
3,-24.0,1737,1.8,1289
4,-23.0,2132,2.5,1815
5,-24.0,1555,3.0,2202
6,-24.0,1702,3.5,2622
7,-24.0,2186,4.2,3164
8,-24.0,1723,4.8,3586
9,-24.0,1607,5.3,3984
10,-23.0,1897,5.9,4452
11,-23.0,1666,6.5,4863
12,-24.0,1607,7.0,5258
13,-24.0,1813,7.6,5708
14,-24.0,2210,8.3,6256
15,-24.0,1864,8.9,6715
16,-24.0,2071,9.6,7226
17,-24.0,1714,10.1,7653
18,-24.0,1964,10.8,8138
19,-24.0,1779,11.3,8580
20,-23.0,2099,12.0,9100
21,-24.0,1799,12.6,9545
22,-24.0,1799,13.2,9987
23,-24.0,1715,16.9,10408
24,-24.0,1827,20.1,10858
25,-23.0,3201,26.3,11656
26,-24.0,1683,29.5,12071
27,-24.0,2126,33.7,12600
28,-23.0,2164,37.9,13139
29,-24.0,2248,42.3,13699
30,-24.0,2401,46.4,14293
31,-24.0,1638,49.3,14700
32,-24.0,1648,52.2,15108
33,-24.0,1911,55.6,15583
34,-24.0,3912,62.3,16552
35,-24.0,1603,65.0,16944
36,-24.0,1765,68.3,17380
37,-22.0,2631,73.4,18034
38,-24.0,2007,77.0,18529
39,-24.0,2247,81.3,19082
40,-24.0,1798,85.0,19527
41,-24.0,1575,87.9,19917
42,-24.0,2471,92.4,20529
43,-24.0,3303,98.2,21351
44,-24.0,1574,101.1,21737
45,-24.0,2182,104.9,22274
46,-24.0,2363,109.2,22859
47,-24.0,1606,112.0,23257
48,-24.0,2501,116.6,23878
49,-24.0,5223,126.9,25180
50,-24.0,1827,130.5,25635
51,-24.0,1863,134.1,26093
52,-24.0,3666,140.6,27001
53,-24.0,2423,145.0,27601
54,-24.0,3511,151.2,28477
55,-24.0,2594,155.8,29123
56,-24.0,1542,158.6,29504
57,-24.0,6131,169.9,31031
58,-24.0,1745,173.0,31463
59,-24.0,1653,176.1,31874
60,-24.0,3110,181.6,32643
61,-24.0,4519,189.8,33767
62,-24.0,2342,193.9,34347
63,-24.0,4977,203.0,35585
64,-24.0,4839,212.0,36791
65,-23.0,4599,220.3,37938
66,-24.0,11049,240.4,40692
67,-24.0,18245,274.5,45249
68,-24.0,5012,283.6,46494
69,-24.0,21286,321.8,51809
70,-24.0,8850,339.6,54017
71,-9.0,27000,390.4,60758
72,-19.0,27000,439.2,67500
73,-10.0,27000,488.0,74245
74,-24.0,11301,508.5,77062
75,-24.0,20444,545.1,82165
76,-24.0,21959,584.6,87649
77,-24.0,16534,614.3,91779
78,-24.0,17725,646.4,96204
79,-24.0,24070,689.9,102217
80,-24.0,6775,702.1,103907
81,-24.0,9138,718.4,106185
82,-23.0,19046,752.7,110938
83,-10.0,27000,801.2,117680
84,-24.0,23814,844.2,123629
85,-24.0,20933,881.8,128860
86,-24.0,12403,904.1,131958
87,-24.0,26274,951.4,138518
88,-19.0,27000,1001.1,145261
89,-19.0,27000,1049.6,152008
90,-8.0,27000,1098.3,158754
91,-24.0,18550,1131.9,163387
92,-17.0,27000,1180.6,170134
93,-3.0,27000,1229.5,176879
94,-24.0,11622,1250.3,179780
95,-24.0,21257,1288.9,185089
96,-24.0,20103,1325.1,190110
97,-24.0,11811,1346.3,193057
98,-24.0,16533,1376.1,197183
