episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.7,436
2,-24.0,1735,1.3,861
3,-24.0,1737,2.0,1289
4,-23.0,2132,2.8,1815
5,-24.0,1555,3.3,2202
6,-24.0,1702,3.9,2622
7,-24.0,2186,4.7,3164
8,-24.0,1723,5.3,3586
9,-24.0,1607,5.9,3984
10,-23.0,1897,6.6,4452
11,-23.0,1666,7.2,4863
12,-24.0,1607,7.8,5258
13,-24.0,1813,8.5,5708
14,-24.0,2210,9.3,6256
15,-24.0,1864,10.0,6715
16,-24.0,2071,10.8,7226
17,-24.0,1714,11.4,7653
18,-24.0,1964,12.1,8138
19,-24.0,1779,12.8,8580
20,-23.0,2099,13.5,9100
21,-24.0,1799,14.1,9545
22,-24.0,1799,14.8,9987
23,-23.0,1796,15.5,10428
24,-23.0,1921,16.1,10901
25,-24.0,1897,16.9,11373
26,-24.0,1703,17.5,11793
27,-24.0,1737,18.1,12224
28,-24.0,1640,18.7,12632
29,-23.0,1652,19.3,13043
30,-24.0,2226,20.2,13593
31,-24.0,1920,20.9,14070
32,-22.0,2033,21.6,14574
33,-24.0,2278,25.1,15141
34,-24.0,2130,35.8,15665
35,-24.0,1831,45.0,16114
36,-23.0,1766,53.9,16550
37,-22.0,2872,67.9,17265
38,-23.0,1703,76.3,17684
39,-24.0,1665,84.7,18091
40,-24.0,2311,96.3,18664
41,-23.0,1762,105.3,19101
42,-24.0,3783,124.1,20041
43,-23.0,2407,136.1,20639
44,-24.0,3241,152.5,21441
45,-24.0,2279,163.9,22003
46,-24.0,5865,193.3,23463
47,-23.0,2821,207.7,24165
48,-23.0,1898,217.3,24635
49,-24.0,2554,230.3,25270
50,-24.0,2578,243.3,25913
51,-24.0,2787,256.8,26602
52,-24.0,5544,284.8,27979
53,-24.0,2884,299.4,28694
54,-24.0,6595,331.8,30341
55,-24.0,3976,352.1,31333
56,-24.0,3333,368.5,32162
57,-24.0,6854,403.4,33870
58,-24.0,10869,458.2,36583
59,-24.0,4358,480.5,37670
60,-24.0,3605,498.1,38563
61,-23.0,7731,537.7,40490
62,-24.0,16326,619.2,44566
63,-24.0,1974,629.3,45053
64,-23.0,27000,766.8,51800
65,-24.0,10086,818.1,54319
66,-9.0,27000,956.0,61061
67,-24.0,14364,1029.0,64648
68,-9.0,27000,1166.4,71390
69,-24.0,24437,1290.8,77493
70,-16.0,27000,1428.9,84238
71,-9.0,27000,1564.5,90979
72,-24.0,6406,1596.8,92572
73,-24.0,23127,1715.2,98348
74,-24.0,4774,1739.9,99533
75,-24.0,16710,1824.1,103702
76,-23.0,20981,1931.3,108942
77,-24.0,8707,1976.2,111115
78,-18.0,27000,2113.0,117859
79,-17.0,27000,2257.0,124605
80,-24.0,12773,2411.6,127795
81,-24.0,16070,2601.9,131806
82,-24.0,20275,2852.8,136866
83,-24.0,13012,2994.4,140111
84,-24.0,22792,3242.4,145804
85,-2.0,27000,21213.0,152551
86,-3.0,27000,21407.3,159298
87,-8.0,27000,21485.5,166040
88,-9.0,27000,21570.3,172783
89,-24.0,14662,21614.5,176446
90,-24.0,1511,21619.0,176820
91,-19.0,27000,21700.8,183565
92,-1.0,27000,21782.0,190312
93,-23.0,8357,21806.1,192396
94,-24.0,14566,21848.3,196033
95,-24.0,12994,21885.7,199276
