episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.6,436
2,-24.0,1735,1.2,861
3,-24.0,1737,1.8,1289
4,-23.0,2132,2.4,1815
5,-24.0,1555,2.9,2202
6,-24.0,1702,3.5,2622
7,-24.0,2186,4.2,3164
8,-24.0,1723,4.8,3586
9,-24.0,1607,5.3,3984
10,-23.0,1897,5.9,4452
11,-23.0,1666,6.4,4863
12,-24.0,1607,7.0,5258
13,-24.0,1813,7.6,5708
14,-24.0,2210,8.3,6256
15,-24.0,1864,8.9,6715
16,-24.0,2071,9.6,7226
17,-24.0,1714,10.1,7653
18,-24.0,1964,10.8,8138
19,-24.0,1779,11.4,8580
20,-23.0,2099,12.0,9100
21,-24.0,1799,12.6,9545
22,-24.0,1799,13.2,9987
23,-24.0,1632,16.0,10387
24,-23.0,3145,21.5,11166
25,-24.0,1607,24.5,11566
26,-23.0,2387,28.7,12157
27,-24.0,2311,32.7,12732
28,-24.0,1926,36.1,13212
29,-22.0,2215,40.0,13764
30,-24.0,1570,42.7,14150
31,-23.0,2087,46.4,14669
32,-24.0,1638,49.2,15074
33,-23.0,2889,54.3,15793
34,-24.0,2374,58.4,16378
35,-24.0,2144,62.1,16905
36,-24.0,3126,67.5,17681
37,-24.0,2503,72.0,18303
38,-24.0,1671,75.0,18714
39,-24.0,3304,80.8,19531
40,-24.0,1732,83.8,19960
41,-24.0,1895,87.2,20430
42,-24.0,2099,90.9,20949
43,-24.0,3274,96.7,21764
44,-24.0,3135,102.2,22540
45,-24.0,2085,105.8,23053
46,-24.0,7699,119.2,24972
47,-24.0,3251,125.1,25782
48,-24.0,2488,129.5,26400
49,-23.0,2054,133.1,26910
50,-24.0,2695,137.9,27582
51,-24.0,3175,143.5,28368
52,-24.0,3111,149.0,29137
53,-24.0,1606,151.8,29532
54,-24.0,7206,164.6,31332
55,-24.0,11750,187.4,34267
56,-17.0,27000,238.2,41013
57,-16.0,27000,287.3,47757
58,-1.0,27000,337.0,54502
59,-1.0,27000,386.9,61250
60,-9.0,27000,441.9,67991
61,-3.0,27000,496.9,74735
62,-1.0,27000,547.8,81480
63,-2.0,27000,607.2,88223
64,-2.0,27000,663.0,94970
65,-1.0,27000,713.0,101717
66,-1.0,27000,768.7,108459
67,-9.0,27000,817.5,115205
68,-11.0,27000,866.0,121947
69,-10.0,27000,914.6,128690
70,-24.0,5351,924.3,130023
71,-24.0,10982,943.8,132759
72,-19.0,27000,994.9,139501
73,-24.0,13703,1022.8,142921
74,-24.0,7730,1039.4,144845
75,-24.0,14821,1068.6,148542
76,-23.0,3335,1075.5,149370
77,-23.0,18920,1111.5,154096
78,-24.0,6038,1122.3,155599
79,-24.0,10836,1142.3,158304
80,-24.0,12259,1167.3,161365
81,-24.0,13559,1193.1,164748
82,-22.0,23142,1234.7,170525
83,-24.0,9606,1251.9,172919
84,-16.0,27000,1300.3,179664
85,-1.0,27000,1348.9,186411
86,-3.0,27000,1397.5,193158
87,-16.0,27000,1445.6,199900
