episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.6,436
2,-24.0,1735,1.2,861
3,-24.0,1737,1.8,1289
4,-23.0,2132,2.5,1815
5,-24.0,1747,4.4,2250
6,-24.0,2391,8.5,2842
7,-23.0,1810,11.6,3290
8,-24.0,1799,14.7,3731
9,-24.0,1560,17.3,4118
10,-23.0,1831,20.5,4570
11,-23.0,1831,23.7,5023
12,-24.0,1727,26.6,5448
13,-24.0,1990,30.2,5942
14,-23.0,1947,33.5,6424
15,-24.0,1770,36.5,6859
16,-24.0,2151,40.2,7390
17,-24.0,1688,43.1,7810
18,-24.0,1720,46.1,8234
19,-24.0,1638,48.9,8641
20,-24.0,1682,51.8,9057
21,-24.0,1991,55.3,9550
22,-24.0,1845,58.5,10003
23,-24.0,1990,61.9,10493
24,-24.0,1682,64.8,10907
25,-24.0,1939,68.2,11390
26,-23.0,2118,71.8,11914
27,-24.0,1848,75.0,12373
28,-24.0,1655,77.9,12785
29,-23.0,1759,80.9,13223
30,-23.0,2086,84.5,13738
31,-24.0,2279,88.5,14305
32,-24.0,1740,91.5,14736
33,-24.0,1942,94.8,15219
34,-22.0,2278,98.7,15780
35,-24.0,3381,104.6,16617
36,-24.0,1958,108.0,17101
37,-24.0,2040,111.5,17608
38,-24.0,1812,114.7,18054
39,-24.0,2120,118.4,18575
40,-24.0,1926,121.7,19052
41,-24.0,1988,125.2,19545
42,-24.0,1879,128.5,20009
43,-24.0,2146,132.3,20542
44,-24.0,3315,138.0,21363
45,-23.0,2626,142.5,22011
46,-24.0,1700,145.5,22430
47,-24.0,4182,152.7,23472
48,-24.0,4359,160.4,24557
49,-24.0,6535,171.9,26187
50,-23.0,8103,186.3,28211
51,-24.0,9351,202.8,30541
52,-23.0,10053,220.5,33045
53,-24.0,2935,225.7,33773
54,-24.0,8098,240.0,35796
55,-24.0,18230,273.4,40351
56,-24.0,2948,279.2,41084
57,-24.0,5062,288.6,42344
58,-24.0,21861,327.1,47805
59,-24.0,18855,360.3,52517
60,-22.0,10293,378.4,55082
61,-24.0,10838,397.4,57786
62,-24.0,24038,439.8,63790
63,-24.0,9301,456.2,66109
64,-24.0,12647,478.4,69267
65,-24.0,22858,518.7,74979
66,-24.0,5907,529.0,76448
67,-23.0,20104,564.4,81470
68,-24.0,18168,596.3,86004
69,-24.0,14919,624.1,89727
70,-24.0,6213,637.1,91275
71,-16.0,27000,684.9,98016
72,-24.0,17491,715.2,102380
73,-24.0,13735,739.1,105808
74,-24.0,11416,759.1,108653
75,-24.0,10182,777.1,111190
76,-24.0,15573,804.8,115078
77,-17.0,27000,852.3,121824
78,-24.0,10117,870.0,124347
79,-24.0,18919,903.2,129072
80,-24.0,17077,933.5,133338
81,-24.0,20578,969.6,138476
82,-24.0,13223,992.8,141773
83,-11.0,27000,1040.2,148515
84,-24.0,15764,1068.5,152451
85,-23.0,6613,1080.9,154102
86,-17.0,27000,1131.0,160849
87,-16.0,27000,1178.8,167591
88,-8.0,27000,1228.7,174334
89,-24.0,8825,1245.1,176537
90,-24.0,12338,1267.1,179618
91,-11.0,27000,1318.7,186363
92,-24.0,8582,1339.0,188505
93,-16.0,27000,1389.8,195250
