episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.7,436
2,-24.0,1735,1.2,861
3,-24.0,1737,1.8,1289
4,-23.0,2132,2.5,1815
5,-24.0,1555,3.0,2202
6,-24.0,1702,3.7,2622
7,-24.0,2186,4.4,3164
8,-24.0,1723,5.0,3586
9,-24.0,1607,5.6,3984
10,-23.0,1897,6.2,4452
11,-23.0,1666,6.8,4863
12,-24.0,1607,7.3,5258
13,-24.0,1813,7.9,5708
14,-24.0,2210,8.6,6256
15,-24.0,1864,9.2,6715
16,-24.0,2071,9.9,7226
17,-24.0,1714,10.5,7653
18,-24.0,1964,11.1,8138
19,-24.0,1779,11.7,8580
20,-23.0,2099,12.4,9100
21,-24.0,1799,13.0,9545
22,-24.0,1799,13.6,9987
23,-24.0,1683,16.5,10400
24,-24.0,2561,21.4,11033
25,-24.0,2470,26.4,11648
26,-24.0,1700,29.4,12067
27,-24.0,1813,33.0,12517
28,-24.0,2119,37.0,13045
29,-24.0,2631,41.5,13701
30,-24.0,4083,48.6,14716
31,-24.0,2562,53.0,15354
32,-24.0,1829,56.2,15807
33,-24.0,2310,60.5,16382
34,-24.0,2598,65.2,17023
35,-23.0,2823,70.6,17720
36,-24.0,1719,73.7,18144
37,-24.0,1767,77.4,18582
38,-24.0,2134,81.4,19109
39,-24.0,3047,87.3,19862
40,-24.0,1944,91.0,20344
41,-23.0,3866,99.1,21307
42,-21.0,5590,109.6,22699
43,-22.0,3411,116.5,23548
44,-24.0,2854,122.2,24254
45,-24.0,1624,125.6,24652
46,-24.0,1638,129.1,25055
47,-24.0,2022,132.7,25557
48,-24.0,1649,135.6,25965
49,-24.0,4713,143.9,27139
50,-24.0,3012,149.4,27890
51,-24.0,2824,155.2,28588
52,-24.0,2438,159.5,29189
53,-24.0,3301,165.3,30008
54,-24.0,4344,173.0,31092
55,-23.0,2518,177.4,31719
56,-24.0,7559,191.0,33604
57,-24.0,1618,194.2,34003
58,-24.0,3239,201.3,34808
59,-24.0,3526,208.8,35687
60,-24.0,4290,217.7,36751
61,-24.0,5319,228.4,38075
62,-23.0,6423,240.2,39676
63,-24.0,4917,249.5,40899
64,-24.0,12999,273.5,44145
65,-24.0,14727,301.8,47824
66,-24.0,12722,326.3,50996
67,-23.0,9574,343.8,53385
68,-24.0,14952,371.4,57115
69,-24.0,5929,382.8,58591
70,-24.0,4454,391.2,59700
71,-24.0,26951,441.8,66429
72,-24.0,22181,484.7,71966
73,-8.0,27000,536.3,78711
74,-19.0,27000,587.4,85452
75,-23.0,20678,625.6,90613
76,-19.0,27000,676.0,97357
77,-24.0,21701,716.7,102778
78,-24.0,24551,764.7,108909
79,-8.0,27000,814.7,115655
80,-24.0,21568,854.4,121043
81,-24.0,8725,871.7,123218
82,-24.0,13894,897.1,126683
83,-24.0,23205,943.2,132476
84,-24.0,3672,950.4,133389
85,-24.0,8198,966.5,135436
86,-24.0,22245,1008.9,140994
87,-8.0,27000,1059.0,147736
88,-8.0,27000,1112.3,154479
89,-24.0,15078,1141.1,158246
90,-24.0,13927,1166.4,161724
91,-8.0,27000,1216.2,168469
92,-1.0,27000,1264.6,175216
93,-24.0,19910,1303.6,180188
94,-3.0,27000,1356.1,186933
95,-24.0,16710,1388.1,191105
96,-24.0,11174,1408.7,193894
97,-24.0,15496,1437.0,197763
