episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.6,436
2,-24.0,1735,1.2,861
3,-24.0,1737,1.7,1289
4,-23.0,2132,2.4,1815
5,-24.0,1555,3.0,2202
6,-24.0,1702,3.5,2622
7,-24.0,2186,4.2,3164
8,-24.0,1723,4.8,3586
9,-24.0,1607,5.3,3984
10,-23.0,1897,5.9,4452
11,-23.0,1666,6.5,4863
12,-24.0,1607,7.0,5258
13,-24.0,1813,7.6,5708
14,-24.0,2210,8.3,6256
15,-24.0,1864,8.9,6715
16,-24.0,2071,9.6,7226
17,-24.0,1714,10.1,7653
18,-24.0,1964,10.8,8138
19,-24.0,1779,11.4,8580
20,-23.0,2099,12.0,9100
21,-24.0,1799,12.6,9545
22,-24.0,1799,13.2,9987
23,-24.0,1737,16.1,10414
24,-24.0,1894,19.4,10881
25,-24.0,1716,22.3,11308
26,-24.0,1607,25.1,11704
27,-24.0,1927,28.4,12183
28,-24.0,1703,31.3,12607
29,-24.0,2178,35.1,13150
30,-24.0,1784,38.8,13590
31,-23.0,1845,42.6,14049
32,-24.0,1542,45.6,14430
33,-24.0,2056,49.4,14941
34,-24.0,1639,52.6,15342
35,-24.0,1767,55.7,15775
36,-24.0,1878,59.4,16239
37,-24.0,3623,66.6,17141
38,-24.0,1558,69.4,17524
39,-24.0,1715,72.8,17944
40,-24.0,1759,76.1,18379
41,-24.0,2423,80.4,18981
42,-24.0,1574,83.2,19369
43,-24.0,3608,90.7,20267
44,-24.0,2341,94.8,20844
45,-23.0,1734,97.9,21269
46,-24.0,2722,102.8,21943
47,-24.0,1698,105.8,22364
48,-24.0,1575,108.6,22753
49,-24.0,1571,111.3,23142
50,-24.0,3362,117.2,23981
51,-24.0,1701,120.2,24398
52,-24.0,1670,123.2,24807
53,-24.0,2502,127.6,25426
54,-24.0,5760,137.7,26864
55,-24.0,5106,146.7,28138
56,-23.0,8628,162.0,30291
57,-24.0,3367,167.9,31127
58,-11.0,27000,216.1,37872
59,-1.0,27000,264.4,44620
60,-1.0,27000,312.9,51361
61,-2.0,27000,361.9,58105
62,-1.0,27000,412.7,64850
63,-2.0,27000,468.8,71593
64,-24.0,26919,518.8,78319
65,-24.0,12487,541.3,81438
66,-24.0,6120,552.5,82960
67,-24.0,8230,567.3,85013
68,-24.0,16999,597.8,89254
69,-9.0,27000,649.2,95997
70,-24.0,23078,691.0,101762
71,-24.0,2086,694.8,102274
72,-23.0,18169,727.4,106808
73,-16.0,27000,779.0,113553
74,-11.0,27000,827.6,120294
75,-11.0,27000,877.7,127036
76,-24.0,16197,909.7,131080
77,-24.0,7718,924.5,133006
78,-24.0,15907,956.1,136976
79,-17.0,27000,1005.6,143722
80,-24.0,2822,1011.4,144424
81,-24.0,19494,1051.9,149291
82,-16.0,27000,1101.0,156032
83,-17.0,27000,1153.1,162774
84,-2.0,27000,1202.4,169519
85,-10.0,27000,1251.2,176266
86,-8.0,27000,1300.8,183013
87,-9.0,27000,1351.3,189755
88,-24.0,15646,1380.5,193659
89,-24.0,2935,1386.2,194390
