episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.7,436
2,-24.0,1735,1.3,861
3,-24.0,1737,1.9,1289
4,-23.0,2132,2.6,1815
5,-24.0,1555,3.1,2202
6,-24.0,1702,3.6,2622
7,-24.0,2186,4.4,3164
8,-24.0,1723,5.0,3586
9,-24.0,1607,5.6,3984
10,-23.0,1897,6.2,4452
11,-23.0,1666,6.8,4863
12,-24.0,1607,7.4,5258
13,-24.0,1813,8.0,5708
14,-24.0,2210,8.8,6256
15,-24.0,1864,9.4,6715
16,-24.0,2071,10.1,7226
17,-24.0,1714,10.7,7653
18,-24.0,1964,11.3,8138
19,-24.0,1779,11.9,8580
20,-23.0,2099,12.7,9100
21,-24.0,1799,13.3,9545
22,-24.0,1799,14.0,9987
23,-24.0,2087,26.3,10501
24,-24.0,2307,39.8,11071
25,-24.0,2402,53.9,11669
26,-24.0,1697,64.2,12087
27,-24.0,1895,77.2,12558
28,-24.0,1800,89.1,13006
29,-24.0,1961,101.0,13494
30,-24.0,2197,114.4,14037
31,-24.0,1606,125.0,14436
32,-24.0,1619,135.5,14837
33,-24.0,1692,145.9,15257
34,-24.0,1672,155.7,15666
35,-23.0,1763,166.7,16098
36,-24.0,2314,181.0,16671
37,-24.0,3111,202.1,17445
38,-24.0,1922,215.1,17919
39,-24.0,1699,225.6,18335
40,-24.0,2023,237.8,18836
41,-24.0,1970,249.6,19325
42,-24.0,1855,261.3,19783
43,-24.0,1955,272.9,20268
44,-24.0,2486,287.5,20882
45,-24.0,1623,296.9,21280
46,-24.0,1959,308.7,21764
47,-24.0,3750,333.1,22698
48,-24.0,1959,345.1,23183
49,-24.0,2404,359.5,23780
50,-24.0,2278,372.9,24348
51,-24.0,1926,384.5,24822
52,-23.0,2630,400.7,25471
53,-24.0,3110,420.7,26242
54,-24.0,1919,432.0,26720
55,-24.0,1766,442.8,27159
56,-24.0,2591,459.2,27802
57,-24.0,4370,486.3,28889
58,-24.0,1606,496.3,29286
59,-24.0,2034,509.3,29792
60,-24.0,5284,541.6,31104
61,-24.0,1702,552.9,31524
62,-24.0,3302,574.5,32344
63,-24.0,2021,588.1,32843
64,-24.0,3688,612.0,33762
65,-24.0,1672,622.4,34177
66,-24.0,2181,636.3,34714
67,-24.0,4102,661.5,35735
68,-24.0,2182,675.8,36272
69,-23.0,3718,699.7,37195
70,-24.0,2214,714.0,37744
71,-24.0,2314,729.6,38313
72,-24.0,1767,741.6,38746
73,-24.0,3206,764.1,39542
74,-23.0,9762,830.6,41974
75,-24.0,14536,924.0,45600
76,-24.0,6630,970.2,47252
77,-24.0,14665,1068.0,50914
78,-17.0,27000,1244.1,57658
79,-9.0,27000,1413.4,64404
80,-10.0,27000,1600.5,71150
81,-3.0,27000,1792.0,77893
82,-24.0,18083,1921.3,82405
83,-24.0,21047,2069.7,87659
84,-24.0,12838,2204.0,90864
85,-23.0,14823,2405.7,94567
86,-24.0,7303,2479.3,96390
87,-24.0,12309,2609.3,99459
88,-24.0,7619,2690.4,101357
89,-24.0,10913,2763.4,104082
90,-24.0,8322,2813.0,106159
91,-24.0,11690,2882.1,109077
92,-24.0,22495,3015.2,114697
93,-24.0,13973,3098.3,118185
94,-24.0,7669,3143.3,120098
95,-24.0,18692,3255.3,124765
96,-24.0,14326,3341.5,128342
97,-24.0,9076,3397.4,130606
98,-24.0,7676,3443.7,132518
99,-24.0,26500,3607.4,139137
100,-18.0,27000,3780.1,145878
101,-19.0,27000,3942.3,152621
102,-24.0,19429,4056.5,157469
103,-24.0,1799,4067.0,157914
104,-24.0,14278,4165.0,161479
105,-24.0,5352,4199.0,162808
106,-10.0,27000,4367.6,169552
107,-9.0,27000,4526.8,176295
108,-24.0,23974,4668.5,182281
109,-23.0,23351,4823.6,188113
110,-24.0,13296,4915.1,191432
111,-24.0,5606,4950.9,192830
112,-17.0,27000,5122.5,199575
