episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.6,436
2,-24.0,1735,1.2,861
3,-24.0,1737,1.7,1289
4,-23.0,2132,2.4,1815
5,-24.0,1555,2.9,2202
6,-24.0,1702,3.5,2622
7,-24.0,2186,4.2,3164
8,-24.0,1723,4.8,3586
9,-24.0,1607,5.3,3984
10,-23.0,1897,5.9,4452
11,-23.0,1666,6.4,4863
12,-24.0,1607,7.0,5258
13,-24.0,1813,7.5,5708
14,-24.0,2210,8.3,6256
15,-24.0,1864,8.9,6715
16,-24.0,2071,9.5,7226
17,-24.0,1714,10.1,7653
18,-24.0,1964,10.7,8138
19,-24.0,1779,11.3,8580
20,-23.0,2099,12.0,9100
21,-24.0,1799,12.6,9545
22,-24.0,1799,13.1,9987
23,-23.0,1796,13.7,10428
24,-23.0,1921,14.3,10901
25,-24.0,1897,15.0,11373
26,-24.0,1703,15.5,11793
27,-24.0,1737,16.1,12224
28,-24.0,1640,16.6,12632
29,-23.0,1652,17.2,13043
30,-24.0,2226,17.9,13593
31,-24.0,1920,18.5,14070
32,-22.0,2033,19.2,14574
33,-24.0,2229,19.9,15128
34,-24.0,1747,20.4,15556
35,-24.0,1830,21.0,16005
36,-24.0,1844,21.6,16461
37,-24.0,1762,22.2,16898
38,-23.0,2135,22.9,17425
39,-23.0,1906,23.5,17893
40,-24.0,1702,24.0,18314
41,-24.0,1603,24.6,18711
42,-24.0,2212,25.3,19259
43,-23.0,2023,25.9,19761
44,-24.0,2486,26.7,20375
45,-24.0,1687,27.3,20789
46,-24.0,1606,27.8,21184
47,-24.0,1606,28.3,21582
48,-24.0,1863,28.9,22043
49,-24.0,1862,29.5,22505
50,-24.0,1793,30.1,22951
51,-23.0,1830,30.7,23401
52,-24.0,1784,31.3,23838
53,-24.0,1671,31.8,24250
54,-24.0,2022,32.5,24754
55,-23.0,2182,34.9,25297
56,-24.0,1766,38.0,25734
57,-23.0,1891,41.4,26201
58,-24.0,1731,44.4,26629
59,-24.0,4903,53.0,27853
60,-24.0,4416,60.6,28948
61,-24.0,6500,72.0,30567
62,-24.0,6151,82.7,32100
63,-24.0,3201,88.3,32894
64,-24.0,4294,95.8,33964
65,-24.0,26598,142.6,40611
66,-3.0,27000,190.2,47353
67,-8.0,27000,238.0,54099
68,-8.0,27000,285.5,60841
69,-8.0,27000,333.0,67584
70,-1.0,27000,380.6,74329
71,1.0,27000,427.6,81070
72,-1.0,27000,474.9,87812
73,-3.0,27000,522.8,94557
74,-3.0,27000,570.4,101298
75,-24.0,16486,599.5,105411
76,-24.0,14709,625.6,109083
77,-24.0,8102,639.9,111105
78,-24.0,21543,677.8,116484
79,-24.0,14437,704.6,120089
80,-17.0,27000,754.7,126835
81,-24.0,13766,779.5,130270
82,-24.0,8968,795.5,132503
83,-24.0,17351,826.5,136833
84,-24.0,14951,853.3,140566
85,-24.0,1639,856.2,140973
86,-24.0,18280,889.0,145540
87,-16.0,27000,937.4,152282
88,-19.0,27000,986.1,159025
89,-1.0,27000,1034.6,165772
90,-3.0,27000,1083.2,172518
91,-8.0,27000,1131.7,179263
92,-1.0,27000,1180.9,186010
93,-2.0,27000,1229.0,192755
94,-17.0,27000,1277.5,199500
