episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.6,436
2,-24.0,1735,1.2,861
3,-24.0,1737,1.7,1289
4,-23.0,2132,2.4,1815
5,-24.0,1555,2.9,2202
6,-24.0,1702,3.5,2622
7,-24.0,2186,4.2,3164
8,-24.0,1723,4.8,3586
9,-24.0,1607,5.3,3984
10,-23.0,1897,5.9,4452
11,-23.0,1666,6.4,4863
12,-24.0,1607,6.9,5258
13,-24.0,1813,7.5,5708
14,-24.0,2210,8.3,6256
15,-24.0,1864,8.9,6715
16,-24.0,2071,9.5,7226
17,-24.0,1714,10.1,7653
18,-24.0,1964,10.7,8138
19,-24.0,1779,11.3,8580
20,-23.0,2099,12.0,9100
21,-24.0,1799,12.6,9545
22,-24.0,1799,13.2,9987
23,-24.0,1798,16.2,10429
24,-24.0,1878,19.5,10892
25,-24.0,2112,23.1,11418
26,-23.0,2015,26.6,11916
27,-24.0,2199,30.4,12463
28,-24.0,2296,34.6,13035
29,-24.0,2406,38.7,13635
30,-24.0,1863,41.9,14095
31,-24.0,1702,44.9,14518
32,-24.0,1734,47.9,14947
33,-24.0,1575,50.6,15338
34,-24.0,1738,53.6,15764
35,-23.0,1875,56.7,16224
36,-23.0,1673,59.6,16637
37,-24.0,1609,62.4,17036
38,-24.0,1875,65.6,17498
39,-24.0,1639,68.4,17899
40,-23.0,2115,72.1,18423
41,-24.0,1984,75.5,18915
42,-24.0,1702,78.5,19335
43,-24.0,1834,81.7,19790
44,-24.0,1737,84.7,20216
45,-24.0,1672,87.6,20626
46,-24.0,1943,90.9,21106
47,-24.0,1864,94.2,21569
48,-24.0,1703,97.1,21990
49,-24.0,2790,102.0,22684
50,-24.0,2088,105.7,23204
51,-22.0,1800,108.8,23646
52,-24.0,1813,111.9,24090
53,-24.0,1653,115.1,24497
54,-24.0,1732,118.3,24928
55,-24.0,1702,122.1,25351
56,-24.0,1732,125.6,25780
57,-24.0,1606,128.4,26176
58,-23.0,2047,132.3,26683
59,-24.0,1639,135.2,27091
60,-24.0,1641,139.0,27493
61,-24.0,1607,141.9,27889
62,-24.0,2022,145.4,28389
63,-24.0,1622,148.2,28788
64,-22.0,2370,152.3,29377
65,-23.0,1893,155.6,29847
66,-23.0,1831,158.8,30297
67,-24.0,2592,163.3,30941
68,-24.0,2868,168.2,31650
69,-24.0,1714,171.2,32072
70,-23.0,1811,174.8,32520
71,-23.0,3142,180.7,33296
72,-23.0,2488,185.4,33910
73,-24.0,2471,189.7,34522
74,-24.0,2023,193.5,35019
75,-23.0,1865,197.1,35477
76,-24.0,1781,200.2,35917
77,-24.0,3300,206.3,36738
78,-24.0,3969,213.6,37724
79,-24.0,2424,218.1,38326
80,-24.0,2248,222.4,38884
81,-24.0,1702,225.4,39303
82,-24.0,1736,228.7,39728
83,-24.0,1750,231.8,40158
84,-24.0,1831,235.4,40611
85,-24.0,1991,239.3,41106
86,-24.0,1717,242.3,41532
87,-24.0,2423,246.9,42130
88,-24.0,2407,251.5,42725
89,-24.0,3187,257.5,43519
90,-24.0,2145,261.3,44052
91,-24.0,1671,264.6,44465
92,-23.0,2932,270.1,45195
93,-24.0,2295,274.4,45764
94,-24.0,1863,277.7,46225
95,-24.0,1603,280.8,46620
96,-24.0,2153,284.7,47154
97,-24.0,2439,289.3,47758
98,-24.0,2367,293.8,48342
99,-24.0,2744,298.9,49022
100,-24.0,2869,304.6,49731
101,-24.0,2054,308.3,50238
102,-23.0,3655,315.2,51143
103,-24.0,4103,322.8,52164
104,-24.0,2005,326.7,52661
105,-24.0,1926,330.2,53134
106,-24.0,1735,333.4,53562
107,-24.0,1671,336.7,53973
108,-23.0,1734,339.7,54399
109,-24.0,3666,346.5,55310
110,-24.0,2789,351.7,56002
111,-24.0,4422,359.9,57104
112,-24.0,5576,370.0,58493
113,-24.0,4231,377.8,59545
114,-24.0,1683,381.1,59962
115,-24.0,3174,387.0,60749
116,-24.0,5333,396.8,62080
117,-24.0,3721,403.7,63002
118,-24.0,3111,409.5,63776
119,-24.0,4023,417.0,64780
120,-24.0,4358,425.0,65862
121,-24.0,2375,429.8,66453
122,-24.0,1783,433.6,66895
123,-24.0,3751,440.9,67829
124,-24.0,4294,448.8,68894
125,-23.0,1669,452.1,69308
126,-24.0,3207,458.3,70106
127,-24.0,3142,464.2,70885
128,-24.0,4838,473.1,72089
129,-24.0,3687,480.1,73002
130,-24.0,7848,495.7,74962
131,-23.0,4887,505.3,76179
132,-24.0,5031,515.3,77432
133,-24.0,6822,528.4,79136
134,-24.0,7174,542.0,80922
135,-23.0,8711,557.9,83096
136,-24.0,7431,571.6,84949
137,-24.0,4788,580.5,86140
138,-24.0,3814,587.6,87090
139,-24.0,4358,595.7,88174
140,-24.0,5174,605.2,89462
141,-24.0,3381,611.7,90300
142,-23.0,12196,634.1,93341
143,-24.0,13701,658.8,96759
144,-23.0,11252,679.5,99568
145,-24.0,12403,702.4,102662
146,-24.0,13861,727.3,106123
147,-24.0,13191,751.1,109416
148,-24.0,23640,793.8,115323
149,-24.0,17304,825.2,119647
150,-24.0,23110,867.5,125416
151,-24.0,15268,895.1,129224
152,-24.0,1638,898.3,129627
153,-24.0,23594,940.9,135520
154,-23.0,18529,974.7,140149
155,-24.0,22551,1017.5,145783
