episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.6,436
2,-24.0,1735,1.2,861
3,-24.0,1737,1.8,1289
4,-23.0,2132,2.4,1815
5,-24.0,1555,3.0,2202
6,-24.0,1702,3.5,2622
7,-24.0,2186,4.3,3164
8,-24.0,1723,4.8,3586
9,-24.0,1607,5.3,3984
10,-23.0,1897,5.9,4452
11,-23.0,1666,6.5,4863
12,-24.0,1607,7.0,5258
13,-24.0,1813,7.6,5708
14,-24.0,2210,8.3,6256
15,-24.0,1864,8.9,6715
16,-24.0,2071,9.6,7226
17,-24.0,1714,10.2,7653
18,-24.0,1964,10.8,8138
19,-24.0,1779,11.4,8580
20,-23.0,2099,12.1,9100
21,-24.0,1799,12.7,9545
22,-24.0,1799,13.3,9987
23,-23.0,1671,21.8,10397
24,-24.0,1736,30.9,10824
25,-23.0,2115,42.3,11351
26,-23.0,2438,55.2,11955
27,-24.0,1758,64.5,12392
28,-24.0,2391,77.2,12988
29,-24.0,1894,87.3,13460
30,-24.0,2021,98.0,13959
31,-24.0,2869,113.2,14674
32,-24.0,2144,124.5,15206
33,-23.0,1923,134.8,15684
34,-24.0,1812,144.3,16128
35,-24.0,1895,154.2,16593
36,-24.0,1656,163.0,17002
37,-24.0,2569,176.6,17641
38,-24.0,3175,193.5,18428
39,-24.0,1954,203.6,18908
40,-24.0,1574,212.0,19297
41,-24.0,2114,223.2,19822
42,-24.0,1670,232.1,20234
43,-24.0,2184,243.7,20776
44,-24.0,1607,252.1,21170
45,-24.0,1974,262.5,21655
46,-24.0,1670,271.4,22066
47,-24.0,1959,281.9,22553
48,-24.0,2068,292.8,23066
49,-24.0,1893,303.0,23535
50,-24.0,1828,312.6,23990
51,-24.0,2341,325.1,24567
52,-24.0,1830,334.7,25016
53,-24.0,2023,345.5,25516
54,-24.0,2386,358.3,26111
55,-24.0,2464,371.5,26725
56,-24.0,2790,386.3,27418
57,-24.0,1608,394.7,27814
58,-23.0,3588,413.9,28706
59,-24.0,2374,426.8,29297
60,-24.0,2631,440.7,29946
61,-24.0,3974,462.0,30934
62,-23.0,4733,487.3,32112
63,-24.0,1747,496.5,32542
64,-23.0,2954,512.3,33277
65,-24.0,3721,532.2,34204
66,-24.0,3975,553.4,35190
67,-24.0,2279,565.6,35756
68,-24.0,7911,608.0,37725
69,-24.0,9124,657.1,39999
70,-24.0,3752,680.6,40932
71,-24.0,2567,698.0,41565
72,-23.0,3526,717.3,42438
73,-24.0,9460,768.7,44798
74,-24.0,4770,794.2,45982
75,-24.0,6405,828.6,47575
76,-24.0,5061,855.7,48835
77,-24.0,14753,935.1,52519
78,-23.0,9459,985.4,54877
79,-24.0,8550,1031.0,57010
80,-11.0,27000,1174.9,63756
81,-18.0,27000,1319.1,70499
82,-24.0,14215,1394.8,74044
83,-24.0,22119,1512.4,79566
84,-24.0,8933,1560.1,81795
85,-24.0,14983,1639.7,85538
86,-24.0,25956,1779.1,92024
87,-24.0,13864,1853.0,95482
88,-24.0,1574,1861.2,95868
89,-24.0,10085,1915.0,98386
90,-24.0,18143,2011.8,102918
91,-24.0,19347,2116.1,107750
92,-24.0,5990,2174.5,109244
93,-24.0,11783,2288.8,112185
94,-24.0,13093,2415.6,115454
95,-24.0,16007,2571.7,119450
96,-11.0,27000,2833.8,126196
97,-24.0,23396,3060.5,132040
98,-24.0,5652,3115.1,133446
99,-24.0,16262,3273.1,137505
100,-9.0,27000,3531.6,144246
101,-24.0,24981,3774.4,150485
102,-18.0,27000,4036.4,157226
103,-19.0,27000,4298.7,163971
104,-17.0,27000,4560.3,170716
105,-24.0,24454,4797.3,176821
106,-10.0,27000,5059.0,183565
107,-24.0,12183,5177.3,186604
108,-24.0,7366,5248.8,188438
109,-8.0,27000,5511.3,195182
